filename,title,date,url,digest
2003-11-03-dae84,BULK BILLING WAS NEVER FOR EVERYONE,2003-11-03,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3556/BULK-BILLING-WAS-NEVER-FOR-EVERYONE.aspx,dae849487d6f261e0a530777e7dac30f58e35644
1994-05-31-fdb85,"THE HON TONY ABBOTT MHR, MEMBER FOR WARRINGAH (NSW) - FIRST SPEECH TO PARLIAMENT",1994-05-31,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3677/THE-HON-TONY-ABBOTT-MHR-MEMBER-FOR-WARRINGAH-NSW--FIRST-SPEECH-TO-PARLIAMENT.aspx,fdb856c6955aba111256633905c9f10b1a6e554f
2010-08-11-040ef,"Remarks at Yaama Dhiyaan Indigenous Hospitality Training Centre, Sydney",2010-08-11,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7587/Remarks-at-Yaama-Dhiyaan-Indigenous-Hospitality-Training-Centre-Sydney.aspx,040efa52edfad7eca87b5cd6f55995860bde35bb
2001-03-20-83c18,AGAINST ROONISM – COMBATTING THE CULTURE OF DESPAIR,2001-03-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3717/AGAINST-ROONISM-COMBATTING-THE-CULTURE-OF-DESPAIR.aspx,83c1891ea829aabe6cd05d97cc4a4c3b1e12c24b
2011-09-17-80641,"Remarks at Welcome Home for Xstrata Cycle for SMILE Team, Sydney",2011-09-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8330/Remarks-at-Welcome-Home-for-Xstrata-Cycle-for-SMILE-Team-Sydney.aspx,8064193d603248bc0d932a9082db50782b2b4879
2010-10-28-8509c,Alfred Deakin Lecture 2010,2010-10-28,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7701/Alfred-Deakin-Lecture-2010.aspx,8509cce2c755c13e084070cc8cbfc678c9b3529d
2001-08-16-d8fa1,A PREFERENCE FOR FREEDOM,2001-08-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3683/A-PREFERENCE-FOR-FREEDOM.aspx,d8fa1e1bc376e73afad01207828d036015c6c58d
2009-11-06-e7469,"""CLOSING THE GAP""",2009-11-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7148/CLOSING-THE-GAP.aspx,e7469b93647c32d9c13f6e71ace5a5b87b254b04
2012-07-06-34182,"Address to the Menzies Research Centre - John Howard Lecture 2012, Sydney",2012-07-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8798/Address-to-the-Menzies-Research-Centre--John-Howard-Lecture-2012-Sydney.aspx,341827668ac5650ef96180ff7c0be85f6e76af6a
2012-08-06-f7292,"Address to the Institute of Public Affairs, Sydney",2012-08-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8833/Address-to-the-Institute-of-Public-Affairs-Sydney.aspx,f7292dc7dd35aa83f188af98513b8223c1a8c9ff
2011-03-08-144fe,"Address to Strathcona Baptist Girls Grammar School, Melbourne",2011-03-08,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7902/Address-to-Strathcona-Baptist-Girls-Grammar-School-Melbourne.aspx,144fe52cdc8e2edec4e1676668e1f45f68d17aca
2011-07-10-b3490,Address to the Nation,2011-07-10,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8184/Address-to-the-Nation.aspx,b3490f8a5a1425282fb6bd6b65fdb99bfe3a1026
2012-05-10-ea9b3,"Address to the House of Representatives - Address In Reply, Parliament House, Canberra",2012-05-10,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8810/Address-to-the-House-of-Representatives--Address-In-Reply-Parliament-House-Canberra.aspx,ea9b3479c35228b5e93cc0f616c896deb41bd868
2010-08-16-edfe2,"Remarks at Toodokan Self Defence Academy, Smeaton Grange",2010-08-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7621/Remarks-at-Toodokan-Self-Defence-Academy-Smeaton-Grange.aspx,edfe2854c307a81179b567ed9657e3e475afefb0
2011-04-08-19f3b,"Remarks with the Hon Sussan Ley, MHR at Booral Public School, Booral",2011-04-08,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7986/Remarks-with-the-Hon-Sussan-Ley-MHR-at-Booral-Public-School-Booral.aspx,19f3b9cd5ac063a6e703adf97728f7767a64a272
2003-11-14-af0c0,E MEDICINE,2003-11-14,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3555/E-MEDICINE.aspx,af0c0af605e03eb21d8c8ba9836ef2e2e75eaa50
2012-06-08-3286f,"Landmark Speech - Address to the Pratt Foundation, Melbourne",2012-06-08,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8746/Landmark-Speech--Address-to-the-Pratt-Foundation-Melbourne.aspx,3286f1bdeed1a23fc65827533d96da68a22048a2
2004-02-20-8603f,LAUNCH OF ORGAN DONOR AWARENESS WEEK – WESTMEAD CHILDREN’S HOSPITAL,2004-02-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3564/LAUNCH-OF-ORGAN-DONOR-AWARENESS-WEEK-WESTMEAD-CHILDRENS-HOSPITAL.aspx,8603f71932a0ce2ada65c41b5589c8fcb6470dbc
2011-08-29-05c1f,"Address to the Committee for Economic Development of Australia, Melbourne",2011-08-29,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8278/Address-to-the-Committee-for-Economic-Development-of-Australia-Melbourne.aspx,05c1ff4e647fb5e0ef1e4834701dc1b96e6be946
2000-11-17-83904,JOB NETWORK: WHERE TO NEXT?,2000-11-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3676/JOB-NETWORK-WHERE-TO-NEXT.aspx,83904887e48a750fc8dc1dbb832561a8ab68fd23
2011-09-20-05208,"Matter of Public Importance, Parliament House, Canberra",2011-09-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8340/Matter-of-Public-Importance-Parliament-House-Canberra.aspx,052087e92acdd04e23786364a0992b9e1f88b6b0
2005-05-02-bdc2c,PANDEMIC PREPAREDNESS,2005-05-02,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3594/PANDEMIC-PREPAREDNESS.aspx,bdc2c9066bf4c0c6c6ffa59119ad58386fd048f9
2008-06-26-e231f,MODERN MISSIONARIES NEEDED FOR THE INTERVENTION TO WORK,2008-06-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/6943/MODERN-MISSIONARIES-NEEDED-FOR-THE-INTERVENTION-TO-WORK.aspx,e231f56506e0702ad365903eea52f2cb5dbb8798
2010-08-17-5899f,"National Press Club Address, Canberra",2010-08-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7632/National-Press-Club-Address-Canberra.aspx,5899fb6bf98a3fe89b40483ba3ff21fc97892403
2012-09-13-e5a52,"Address to Homecoming of Australian Paralympic Team, Sydney",2012-09-13,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8883/Address-to-Homecoming-of-Australian-Paralympic-Team-Sydney.aspx,e5a52b138db002973ad8365e3c8530c260967065
2011-11-10-51897,"Address to The Policy Exchange, London",2011-11-10,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8448/Address-to-The-Policy-Exchange-London.aspx,51897abf43acdde280348290d980981e619b07d1
2011-09-14-ff62a,"Remarks to the Muscular Dystrophy Foundation Charity Ride, Canberra",2011-09-14,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8316/Remarks-to-the-Muscular-Dystrophy-Foundation-Charity-Ride-Canberra.aspx,ff62a2764aca9e56bf697da702b43399bdaf9530
2010-08-19-041d5,"Remarks at Lincom Group, Narangba",2010-08-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7653/Remarks-at-Lincom-Group-Narangba.aspx,041d5752235477172805af2dcf5191f43692157a
2001-05-16-55729,SPEECH NOTES FOR JOBS AUSTRALIA CONFERENCE - TACKLING THE MORAL DEFICIT,2001-05-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3710/SPEECH-NOTES-FOR-JOBS-AUSTRALIA-CONFERENCE--TACKLING-THE-MORAL-DEFICIT.aspx,55729275a73185c6df1711634b824bad410ebe84
2011-05-19-96b2b,"Remarks at Morning Tea, Sanitarium, Berkeley Vale",2011-05-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8086/Remarks-at-Morning-Tea-Sanitarium-Berkeley-Vale.aspx,96b2b2b6a978a51872437fe2cf3cf33f5fc9b809
2010-10-10-2f8c5,"Address to the Australian Troops, Tarin Kowt",2010-10-10,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7696/Address-to-the-Australian-Troops-Tarin-Kowt.aspx,2f8c5e5b0c22ff30ac55d492a45220af1dabe6bd
2001-01-06-981bd,SPEECH NOTES FOR ADDRESS TO YOUNG LIBERALS - BEYOND IDEOLOGY,2001-01-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3719/SPEECH-NOTES-FOR-ADDRESS-TO-YOUNG-LIBERALS--BEYOND-IDEOLOGY.aspx,981bd962875b3ea584abd356b0efe833345e3a01
2010-01-12-e547d,OPPOSITION SEEKS TO OVERTURN WILD RIVERS DECLARATION IN CAPE YORK,2010-01-12,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7213/OPPOSITION-SEEKS-TO-OVERTURN-WILD-RIVERS-DECLARATION-IN-CAPE-YORK.aspx,e547d511cda00e3d8fc3fb406c9739ff162b913e
2005-08-26-df2bc,HEALTH REFORM - ITS POSSIBILITIES AND LIMITATIONS,2005-08-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3588/HEALTH-REFORM--ITS-POSSIBILITIES-AND-LIMITATIONS.aspx,df2bc652d015d8fbb3a0a57fce09a1b6ec23b25d
2012-04-27-83e94,"Landmark Speech - Address to the Institute of Public Affairs, Melbourne",2012-04-27,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8689/Landmark-Speech--Address-to-the-Institute-of-Public-Affairs-Melbourne.aspx,83e94a355a90a2769a65519ffac4403fd8c313d3
2011-05-25-54b1d,"Address to the Manufacturers' Monthly Endeavour Awards, Melbourne",2011-05-25,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8097/Address-to-the-Manufacturers-Monthly-Endeavour-Awards-Melbourne.aspx,54b1d6b1c8c6219a372a71d4bf8bb8255e0d12d5
2006-08-28-4dfbd,SPEAKING NOTES FOR MCAULEY BOOK LAUNCH - 28 AUGUST 2006,2006-08-28,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/4089/SPEAKING-NOTES-FOR-MCAULEY-BOOK-LAUNCH--28-AUGUST-2006.aspx,4dfbd1b9c9f3919f33a14d6330be506e1ad0c882
2010-04-17-869d2,"Address to the Liberal Party (151st Victorian Division) State Council, Melbourne 17-04",2010-04-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7342/Address-to-the-Liberal-Party-151st-Victorian-Division-State-Council-Melbourne-17-04.aspx,869d2dd0da06689c47c91a837aa12a25de2a2e63
2007-03-02-d355d,SPEECH NOTES FOR PHARMACY GUILD NATIONAL CONFERENCE,2007-03-02,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/5641/SPEECH-NOTES-FOR-PHARMACY-GUILD-NATIONAL-CONFERENCE.aspx,d355daf655f988e2c90d8c04c3de31a7f4e41528
2011-04-21-bbe88,"Address to the Brain and Mind Research Institute, Sydney",2011-04-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8017/Address-to-the-Brain-and-Mind-Research-Institute-Sydney.aspx,bbe88437bb78f44e5709407283616bf3c966b87f
2004-08-16-bc841,WHICH WORKERS’ PARTY?,2004-08-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3546/WHICH-WORKERS-PARTY.aspx,bc8412e091e5d7b07267f8c52c122df1105d7e6a
1999-03-23-17e9b,DISTANCE DETHRONED - REMARKS FOR NATIONAL TECHNOLOGY IN GOVERNMENT CONFERENCE,1999-03-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3692/DISTANCE-DETHRONED--REMARKS-FOR-NATIONAL-TECHNOLOGY-IN-GOVERNMENT-CONFERENCE.aspx,17e9b6b3a4633424d9ec82b3140151889a163d69
2011-03-23-c6ea7,"Address to the No Carbon Tax Rally, Parliament House",2011-03-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7942/Address-to-the-No-Carbon-Tax-Rally-Parliament-House.aspx,c6ea7b18e441e40869e9f81dfe2bac6e24d1a8b8
2000-08-06-c7568,SPEECH NOTES FOR HR NICHOLLS SOCIETY - CONSTRUCTIVE COMPASSION,2000-08-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3697/SPEECH-NOTES-FOR-HR-NICHOLLS-SOCIETY--CONSTRUCTIVE-COMPASSION.aspx,c7568c05caaed5625131270800c1a7d8dc0c40cc
2005-07-20-68118,THE AUSTRALIA-US RELATIONSHIP: QUO VADIS? THE LESSONS OF HISTORY,2005-07-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3592/THE-AUSTRALIA-US-RELATIONSHIP-QUO-VADIS-THE-LESSONS-OF-HISTORY.aspx,68118b6206058d7d34109f4eee180b9c58566783
1999-06-30-e3b0d,NOTES  FOR CEDA SPEECH - BEYOND THE UNEMPLOYMENT PIETIES,1999-06-30,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3688/NOTES-FOR-CEDA-SPEECH--BEYOND-THE-UNEMPLOYMENT-PIETIES.aspx,e3b0d952ee063ff46e1f68e0881eaf1fd2ce0402
2001-02-02-37a6a,DOUG CAMPBELL – TELSTRA,2001-02-02,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3682/DOUG-CAMPBELL-TELSTRA.aspx,37a6a691f595e4eaed718f42b187a9cf6ab25454
2003-08-08-1d16e,SPEECH NOTES FOR ADDRESS TO CIS CONSILIUM - “THE WEST AND ITS CHALLENGES”,2003-08-08,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3541/SPEECH-NOTES-FOR-ADDRESS-TO-CIS-CONSILIUM--THE-WEST-AND-ITS-CHALLENGES.aspx,1d16eab8b0e3f6b569d53a95ab345a4a5b46e9aa
2011-06-25-9db6f,Address to the 55th Federal Council of the Liberal Party of Australia,2011-06-25,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8155/Address-to-the-55th-Federal-Council-of-the-Liberal-Party-of-Australia.aspx,9db6fd5ca5a6abb9ccc13c6d17955524ca919f62
2001-06-12-09846,MAKING WORK PAY – THE TROUBLE WITH THE WELFARE STATE,2001-06-12,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3707/MAKING-WORK-PAY-THE-TROUBLE-WITH-THE-WELFARE-STATE.aspx,09846e34088aef8789efbbc4c2f02528a509dde7
2010-02-05-e6cb1,"Leader of the Opposition's Address to the Millennium Forum Morning Tea, Sydney",2010-02-05,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7256/Leader-of-the-Oppositions-Address-to-the-Millennium-Forum-Morning-Tea-Sydney.aspx,e6cb19a9f8006e908eb72794f89488e230b86d96
2000-01-07-c569d,IN DEFENCE OF POLITICS - SPEECH NOTES FOR YOUNG LIBERAL CONFERENCE,2000-01-07,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3675/IN-DEFENCE-OF-POLITICS--SPEECH-NOTES-FOR-YOUNG-LIBERAL-CONFERENCE.aspx,c569dfc0d2596114904f7b853999b2ad563edd20
2010-12-11-a10e6,Address to the Liberal Party Western Australia Division State Council,2010-12-11,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7742/Address-to-the-Liberal-Party-Western-Australia-Division-State-Council.aspx,a10e69462118737a387b3d13bada47797b8a2060
2007-01-27-d9ed7,RUDD’S RELIGIOUS SALES PITCH,2007-01-27,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/4739/RUDDS-RELIGIOUS-SALES-PITCH.aspx,d9ed7abf420b7bfa31bf041e1abd659203bbfc28
2011-11-17-9e583,"Address to a Dinner in Honour of Barack Obama, President of the United States of America, The Great Hall, Parliament House",2011-11-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8453/Address-to-a-Dinner-in-Honour-of-Barack-Obama-President-of-the-United-States-of-America-The-Great-Hall-Parliament-House.aspx,9e58324284c7b6eb89b8c32a735750c8e17a56c8
2007-02-21-d9756,HEALTH REFORM: IMPORTANT BUT EASY TO OVERRATE,2007-02-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/5639/HEALTH-REFORM-IMPORTANT-BUT-EASY-TO-OVERRATE.aspx,d97567460ff4a1b9c16b4c02890240d6f033dbb9
2004-01-23-428f9,YOUNG LIBERAL SPEECH - THE MORAL CASE FOR THE HOWARD GOVERNMENT,2004-01-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3565/YOUNG-LIBERAL-SPEECH--THE-MORAL-CASE-FOR-THE-HOWARD-GOVERNMENT.aspx,428f9c9817d831c005770ae280eb6c6578413074
2002-05-09-81c6e,SPEECH TO THE AUSTRALIAN FOOD AND GROCERY COUNCIL - ‘A NATIONAL WORKPLACE’,2002-05-09,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3699/SPEECH-TO-THE-AUSTRALIAN-FOOD-AND-GROCERY-COUNCIL--A-NATIONAL-WORKPLACE.aspx,81c6ee39d4e10a4e834272f496034bec7d86ecca
2011-11-01-65bd4,"Remarks at Carers Australia Morning Tea, Canberra",2011-11-01,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8428/Remarks-at-Carers-Australia-Morning-Tea-Canberra.aspx,65bd49470bfed44b1b937694000260be4b6bfe61
2011-03-25-12851,"Remarks to the Kooyong K200 Breakfast, Melbourne",2011-03-25,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7951/Remarks-to-the-Kooyong-K200-Breakfast-Melbourne.aspx,12851614ccbfe42da315ecfbb1f91fbd877553dd
2008-05-02-aea9c,THE IMPORTANCE OF IMMIGRATION TO THE AUSTRALIAN NATION,2008-05-02,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/6915/THE-IMPORTANCE-OF-IMMIGRATION-TO-THE-AUSTRALIAN-NATION.aspx,aea9cecb74a56fc4526a074390a534e97484c9be
2005-06-06-134eb,GETTING THE SMALLER THINGS RIGHT,2005-06-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3593/GETTING-THE-SMALLER-THINGS-RIGHT.aspx,134eb667d6e8d8d5ac7d9a922346459a151af991
2003-03-26-f748e,MINISTERIAL STATEMENTS: ROYAL COMMISSION INTO THE BUILDING AND CONSTRUCTION INDUSTRY,2003-03-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3544/MINISTERIAL-STATEMENTS-ROYAL-COMMISSION-INTO-THE-BUILDING-AND-CONSTRUCTION-INDUSTRY.aspx,f748e73ffd75cee4c17293825a469f2f6dd42b26
2011-10-26-bda7e,"Address to the ClubsNSW Rally, Campbelltown",2011-10-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8409/Address-to-the-ClubsNSW-Rally-Campbelltown.aspx,bda7e2d45cd6802347b8a726d2582c924389eff4
2004-03-16-93414,THE ETHICAL RESPONSIBILITIES OF A CHRISTIAN POLITICIAN,2004-03-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3550/THE-ETHICAL-RESPONSIBILITIES-OF-A-CHRISTIAN-POLITICIAN.aspx,93414ff7e08b5c76549a56aa7c9b5cbd3ce5be1c
2004-06-18-2cb07,CEDA - STATE OF THE NATION FORUM 2004 - HOW LABOR INTENDS TO KILL MEDICARE,2004-06-18,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3667/CEDA--STATE-OF-THE-NATION-FORUM-2004--HOW-LABOR-INTENDS-TO-KILL-MEDICARE.aspx,2cb0702062e0ae909571a24623dbbd84a4a7d6e6
2011-07-29-6bb36,"Address to Consilium 2011, Queensland",2011-07-29,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8241/Address-to-Consilium-2011-Queensland.aspx,6bb36fd8b7d78d740034c3bbad998e97c4a7cfcb
2010-08-14-f3a99,"Remarks with Michael Keenan and Don Randall, Perth",2010-08-14,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7602/Remarks-with-Michael-Keenan-and-Don-Randall-Perth.aspx,f3a99b43f577af8f3fa1048359d07baa1db3b0a3
2003-07-16-d529b,HUMANISING CAPITALISM,2003-07-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3543/HUMANISING-CAPITALISM.aspx,d529b6d8993b1ec0cc589636443064d759db3f60
2011-08-22-718f4,"Address to the Convoy of No Confidence Rally, Canberra",2011-08-22,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8266/Address-to-the-Convoy-of-No-Confidence-Rally-Canberra.aspx,718f496b1bd7180f60cd2f93563c1c69f24c425d
2000-07-26-b2309,SPEECH TRANSCRIPT OF WORK FOR THE DOLE - UNFINISHED BUSINESS,2000-07-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3696/SPEECH-TRANSCRIPT-OF-WORK-FOR-THE-DOLE--UNFINISHED-BUSINESS.aspx,b23092392b02fde46b70903b3681c994bd42f6ce
2010-01-22-abed0,"ADDRESS TO THE AUSTRALIA DAY COUNCIL (VICTORIA)  AUSTRALIA DAY DINNER, MELBOURNE.",2010-01-22,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7228/ADDRESS-TO-THE-AUSTRALIA-DAY-COUNCIL-VICTORIA-AUSTRALIA-DAY-DINNER-MELBOURNE.aspx,abed02209e07fad944dd7fdcca0944b017824624
2011-10-24-67c45,"Address to the Stand Up for Egypt's Copts Rally, Belmore Park, Sydney",2011-10-24,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8408/Address-to-the-Stand-Up-for-Egypts-Copts-Rally-Belmore-Park-Sydney.aspx,67c455232b6456ab6065f507b9748b7817eac549
2012-05-02-d308c,"Landmark Speech - Address to Infrastructure Partnerships Australia, Sydney",2012-05-02,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8741/Landmark-Speech--Address-to-Infrastructure-Partnerships-Australia-Sydney.aspx,d308c1c0ff8a376bfb541a0751cb2ad0a5b14703
2010-07-24-1078a,"Address to West Australian Liberal Party, Perth",2010-07-24,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7505/Address-to-West-Australian-Liberal-Party-Perth.aspx,1078ad4e93a1c19524fb7964b6e254533a26ab97
2011-04-14-9a7ea,"Address to the Menzies Research Centre National Productivity Roundtable, Sydney",2011-04-14,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7997/Address-to-the-Menzies-Research-Centre-National-Productivity-Roundtable-Sydney.aspx,9a7ea2fc2e50d8713a6c7aad46debccf89b58e48
2011-07-01-fb514,"Address to the 2011 Economic and Social Outlook Conference, Melbourne",2011-07-01,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8162/Address-to-the-2011-Economic-and-Social-Outlook-Conference-Melbourne.aspx,fb5142a21dbcfc2fce7e926d953b285430da170b
